REVIEW_ID,PRODUCT_ID,CUSTOMER_ID,RATING,REVIEW_TEXT,REVIEW_DATE,PURCHASE_CHANNEL,HELPFUL_VOTES
R020,P096,C0381,4.0,配送が早くて便利です。包装も丁寧で安心できます。,2024-10-22 21:35:41.227,EC,17
R021,P001,C0426,3.0,画質が鮮明で、色の再現性も素晴らしいです。リビングの雰囲気が一気に良くなりました。,2024-12-14 21:35:41.227,店舗,0
R022,P004,C0305,2.0,異物が混入していました。衛生管理に問題があると思われます。二度と購入しません。,2025-03-05 21:35:41.227,EC,8
R023,P082,C0420,5.0,大きさがちょうど良く、インテリアとも調和しています。細かい設定も直感的にできて満足しています。,2024-11-27 21:35:41.227,店舗,15
R024,P024,C0009,3.0,配送が早くて便利です。包装も丁寧で安心できます。,2024-10-04 21:35:41.227,EC,13
R025,P033,C0029,1.0,記載されている原材料と実際の味が全く合っていません。誇大広告ではないでしょうか。,2024-09-28 21:35:41.227,EC,3
R026,P032,C0422,4.0,スノーフレッシュの商品は安心して使えます。品質が安定していて信頼できます。,2025-01-23 21:35:41.227,EC,3
R027,P071,C0499,1.0,配送が遅く、カスタマーサポートの対応も悪かったです。二度と利用しません。,2024-10-09 21:35:41.227,店舗,20
R028,P091,C0489,1.0,使いづらい設計で、基本的な機能も満足に果たせません。改良が必要です。,2024-12-03 21:35:41.227,EC,12
R029,P026,C0395,2.0,質が悪く、期待外れでした。このような商品を販売すべきではないと思います。,2024-11-09 21:35:41.227,EC,8
R030,P046,C0359,4.0,配送が早くて便利です。包装も丁寧で安心できます。,2025-03-07 21:35:41.227,EC,2
